t,s,e,c,r,d
1,999,0,1,0,0
2,998,1,1,0,0
3,998,1,0,1,0
4,998,1,0,1,0
5,998,1,0,1,0
6,998,0,1,1,0
7,998,0,1,1,0
8,998,0,1,1,0
9,998,0,1,1,0
10,998,0,1,1,0
11,998,0,1,1,0
12,997,1,1,1,0
13,997,1,1,1,0
14,997,1,1,1,0
15,997,1,1,1,0
16,997,1,1,1,0
17,997,0,2,1,0
18,996,0,3,1,0
19,996,0,3,1,0
20,996,0,3,1,0
21,995,1,3,1,0
22,995,1,2,2,0
23,995,1,2,2,0
24,995,1,2,2,0
25,994,2,2,2,0
26,994,2,2,2,0
27,994,2,2,2,0
28,994,2,2,2,0
29,994,1,3,2,0
30,994,1,3,2,0
31,991,3,4,2,0
32,989,4,5,2,0
33,988,5,5,2,0
34,987,5,6,2,0
35,986,5,6,3,0
36,986,4,7,3,0
37,985,4,7,4,0
38,982,6,7,5,0
39,979,7,8,6,0
40,972,11,9,8,0
41,966,13,13,8,0
42,962,15,15,8,0
43,956,18,18,8,0
44,947,25,16,11,1
45,944,18,23,13,2
46,933,24,27,13,3
47,921,29,27,17,6
48,914,31,32,17,6
49,908,31,36,17,8
50,897,38,37,20,8
51,884,40,44,24,8
52,883,33,46,29,9
53,882,25,52,32,9
54,882,19,52,35,12
55,882,17,49,40,12
56,882,15,48,42,13
57,882,12,46,47,13
58,882,11,44,50,13
59,882,11,41,51,15
60,881,10,38,56,15
61,880,9,38,58,15
62,880,9,34,61,16
63,880,8,33,63,16
64,880,8,29,65,18
65,879,7,26,68,20
66,879,7,23,71,20
67,879,5,22,73,21
68,879,5,18,77,21
69,879,5,17,78,21
70,878,5,14,80,23
71,878,5,14,80,23
72,878,4,15,80,23
73,878,4,15,80,23
74,877,3,15,82,23
75,877,3,15,82,23
76,877,1,16,83,23
77,877,0,15,84,24
78,877,0,14,85,24
79,877,0,12,86,25
80,877,0,11,86,26
81,877,0,10,87,26
82,877,0,10,87,26
83,877,0,9,88,26
84,877,0,7,89,27
85,877,0,6,90,27
86,877,0,6,90,27
87,877,0,6,90,27
88,877,0,5,91,27
89,877,0,4,92,27
90,877,0,4,92,27
91,877,0,3,93,27
92,877,0,3,93,27
93,877,0,3,93,27
94,877,0,2,94,27
95,877,0,1,95,27
96,877,0,1,95,27
97,877,0,1,95,27
98,877,0,1,95,27
99,877,0,0,96,27
100,877,0,0,96,27
101,877,0,0,96,27
102,877,0,0,96,27
103,877,0,0,96,27
104,877,0,0,96,27
105,877,0,0,96,27
106,877,0,0,96,27
107,877,0,0,96,27
108,877,0,0,96,27
109,877,0,0,96,27
110,877,0,0,96,27
111,877,0,0,96,27
112,877,0,0,96,27
113,877,0,0,96,27
114,877,0,0,96,27
115,877,0,0,96,27
116,877,0,0,96,27
117,877,0,0,96,27
118,877,0,0,96,27
119,877,0,0,96,27
120,877,0,0,96,27
121,877,0,0,96,27
122,877,0,0,96,27
123,877,0,0,96,27
124,877,0,0,96,27
125,877,0,0,96,27
126,877,0,0,96,27
127,877,0,0,96,27
128,877,0,0,96,27
129,877,0,0,96,27
130,877,0,0,96,27
131,877,0,0,96,27
132,877,0,0,96,27
133,877,0,0,96,27
134,877,0,0,96,27
135,877,0,0,96,27
136,877,0,0,96,27
137,877,0,0,96,27
138,877,0,0,96,27
139,877,0,0,96,27
140,877,0,0,96,27
141,877,0,0,96,27
142,877,0,0,96,27
143,877,0,0,96,27
144,877,0,0,96,27
145,877,0,0,96,27
146,877,0,0,96,27
147,877,0,0,96,27
148,877,0,0,96,27
149,877,0,0,96,27
150,877,0,0,96,27
151,877,0,0,96,27
152,877,0,0,96,27
153,877,0,0,96,27
154,877,0,0,96,27
155,877,0,0,96,27
156,877,0,0,96,27
157,877,0,0,96,27
158,877,0,0,96,27
159,877,0,0,96,27
160,877,0,0,96,27
161,877,0,0,96,27
162,877,0,0,96,27
163,877,0,0,96,27
164,877,0,0,96,27
165,877,0,0,96,27
166,877,0,0,96,27
167,877,0,0,96,27
168,877,0,0,96,27
169,877,0,0,96,27
170,877,0,0,96,27
171,877,0,0,96,27
172,877,0,0,96,27
173,877,0,0,96,27
174,877,0,0,96,27
175,877,0,0,96,27
176,877,0,0,96,27
177,877,0,0,96,27
178,877,0,0,96,27
179,877,0,0,96,27
180,877,0,0,96,27
181,877,0,0,96,27
182,877,0,0,96,27
183,877,0,0,96,27
184,877,0,0,96,27
185,877,0,0,96,27
186,877,0,0,96,27
187,877,0,0,96,27
188,877,0,0,96,27
189,877,0,0,96,27
190,877,0,0,96,27
191,877,0,0,96,27
192,877,0,0,96,27
193,877,0,0,96,27
194,877,0,0,96,27
195,877,0,0,96,27
196,877,0,0,96,27
197,877,0,0,96,27
198,877,0,0,96,27
199,877,0,0,96,27
200,877,0,0,96,27
201,877,0,0,96,27
202,877,0,0,96,27
203,877,0,0,96,27
204,877,0,0,96,27
205,877,0,0,96,27
206,877,0,0,96,27
207,877,0,0,96,27
208,877,0,0,96,27
209,877,0,0,96,27
210,877,0,0,96,27
211,877,0,0,96,27
212,877,0,0,96,27
213,877,0,0,96,27
214,877,0,0,96,27
215,877,0,0,96,27
216,877,0,0,96,27
217,877,0,0,96,27
218,877,0,0,96,27
219,877,0,0,96,27
220,877,0,0,96,27
221,877,0,0,96,27
222,877,0,0,96,27
223,877,0,0,96,27
224,877,0,0,96,27
225,877,0,0,96,27
226,877,0,0,96,27
227,877,0,0,96,27
228,877,0,0,96,27
229,877,0,0,96,27
230,877,0,0,96,27
231,877,0,0,96,27
232,877,0,0,96,27
233,877,0,0,96,27
234,877,0,0,96,27
235,877,0,0,96,27
236,877,0,0,96,27
237,877,0,0,96,27
238,877,0,0,96,27
239,877,0,0,96,27
240,877,0,0,96,27
241,877,0,0,96,27
242,877,0,0,96,27
243,877,0,0,96,27
244,877,0,0,96,27
245,877,0,0,96,27
246,877,0,0,96,27
247,877,0,0,96,27
248,877,0,0,96,27
249,877,0,0,96,27
250,877,0,0,96,27
251,877,0,0,96,27
252,877,0,0,96,27
253,877,0,0,96,27
254,877,0,0,96,27
255,877,0,0,96,27
256,877,0,0,96,27
257,877,0,0,96,27
258,877,0,0,96,27
259,877,0,0,96,27
260,877,0,0,96,27
261,877,0,0,96,27
262,877,0,0,96,27
263,877,0,0,96,27
264,877,0,0,96,27
265,877,0,0,96,27
266,877,0,0,96,27
267,877,0,0,96,27
268,877,0,0,96,27
269,877,0,0,96,27
270,877,0,0,96,27
271,877,0,0,96,27
272,877,0,0,96,27
273,877,0,0,96,27
274,877,0,0,96,27
275,877,0,0,96,27
276,877,0,0,96,27
277,877,0,0,96,27
278,877,0,0,96,27
279,877,0,0,96,27
280,877,0,0,96,27
281,877,0,0,96,27
282,877,0,0,96,27
283,877,0,0,96,27
284,877,0,0,96,27
285,877,0,0,96,27
286,877,0,0,96,27
287,877,0,0,96,27
288,877,0,0,96,27
289,877,0,0,96,27
290,877,0,0,96,27
291,877,0,0,96,27
292,877,0,0,96,27
293,877,0,0,96,27
294,877,0,0,96,27
295,877,0,0,96,27
296,877,0,0,96,27
297,877,0,0,96,27
298,877,0,0,96,27
299,877,0,0,96,27
300,877,0,0,96,27
301,877,0,0,96,27
302,877,0,0,96,27
303,877,0,0,96,27
304,877,0,0,96,27
305,877,0,0,96,27
306,877,0,0,96,27
307,877,0,0,96,27
308,877,0,0,96,27
309,877,0,0,96,27
310,877,0,0,96,27
311,877,0,0,96,27
312,877,0,0,96,27
313,877,0,0,96,27
314,877,0,0,96,27
315,877,0,0,96,27
316,877,0,0,96,27
317,877,0,0,96,27
318,877,0,0,96,27
319,877,0,0,96,27
320,877,0,0,96,27
321,877,0,0,96,27
322,877,0,0,96,27
323,877,0,0,96,27
324,877,0,0,96,27
325,877,0,0,96,27
326,877,0,0,96,27
327,877,0,0,96,27
328,877,0,0,96,27
329,877,0,0,96,27
330,877,0,0,96,27
331,877,0,0,96,27
332,877,0,0,96,27
333,877,0,0,96,27
334,877,0,0,96,27
335,877,0,0,96,27
336,877,0,0,96,27
337,877,0,0,96,27
338,877,0,0,96,27
339,877,0,0,96,27
340,877,0,0,96,27
341,877,0,0,96,27
342,877,0,0,96,27
343,877,0,0,96,27
344,877,0,0,96,27
345,877,0,0,96,27
346,877,0,0,96,27
347,877,0,0,96,27
348,877,0,0,96,27
349,877,0,0,96,27
350,877,0,0,96,27
351,877,0,0,96,27
352,877,0,0,96,27
353,877,0,0,96,27
354,877,0,0,96,27
355,877,0,0,96,27
356,877,0,0,96,27
357,877,0,0,96,27
358,877,0,0,96,27
359,877,0,0,96,27
360,877,0,0,96,27
361,877,0,0,96,27
362,877,0,0,96,27
363,877,0,0,96,27
364,877,0,0,96,27
365,877,0,0,96,27
366,877,0,0,96,27
367,877,0,0,96,27
368,877,0,0,96,27
369,877,0,0,96,27
370,877,0,0,96,27
371,877,0,0,96,27
372,877,0,0,96,27
373,877,0,0,96,27
374,877,0,0,96,27
375,877,0,0,96,27
376,877,0,0,96,27
377,877,0,0,96,27
378,877,0,0,96,27
379,877,0,0,96,27
380,877,0,0,96,27
381,877,0,0,96,27
382,877,0,0,96,27
383,877,0,0,96,27
384,877,0,0,96,27
385,877,0,0,96,27
386,877,0,0,96,27
387,877,0,0,96,27
388,877,0,0,96,27
389,877,0,0,96,27
390,877,0,0,96,27
391,877,0,0,96,27
392,877,0,0,96,27
393,877,0,0,96,27
394,877,0,0,96,27
395,877,0,0,96,27
396,877,0,0,96,27
397,877,0,0,96,27
398,877,0,0,96,27
399,877,0,0,96,27
400,877,0,0,96,27
401,877,0,0,96,27
402,877,0,0,96,27
403,877,0,0,96,27
404,877,0,0,96,27
405,877,0,0,96,27
406,877,0,0,96,27
407,877,0,0,96,27
408,877,0,0,96,27
409,877,0,0,96,27
410,877,0,0,96,27
411,877,0,0,96,27
412,877,0,0,96,27
413,877,0,0,96,27
414,877,0,0,96,27
415,877,0,0,96,27
416,877,0,0,96,27
417,877,0,0,96,27
418,877,0,0,96,27
419,877,0,0,96,27
420,877,0,0,96,27
421,877,0,0,96,27
422,877,0,0,96,27
423,877,0,0,96,27
424,877,0,0,96,27
425,877,0,0,96,27
426,877,0,0,96,27
427,877,0,0,96,27
428,877,0,0,96,27
429,877,0,0,96,27
430,877,0,0,96,27
431,877,0,0,96,27
432,877,0,0,96,27
433,877,0,0,96,27
434,877,0,0,96,27
435,877,0,0,96,27
436,877,0,0,96,27
437,877,0,0,96,27
438,877,0,0,96,27
439,877,0,0,96,27
440,877,0,0,96,27
441,877,0,0,96,27
442,877,0,0,96,27
443,877,0,0,96,27
444,877,0,0,96,27
445,877,0,0,96,27
446,877,0,0,96,27
447,877,0,0,96,27
448,877,0,0,96,27
449,877,0,0,96,27
450,877,0,0,96,27
451,877,0,0,96,27
452,877,0,0,96,27
453,877,0,0,96,27
454,877,0,0,96,27
455,877,0,0,96,27
456,877,0,0,96,27
457,877,0,0,96,27
458,877,0,0,96,27
459,877,0,0,96,27
460,877,0,0,96,27
461,877,0,0,96,27
462,877,0,0,96,27
463,877,0,0,96,27
464,877,0,0,96,27
465,877,0,0,96,27
466,877,0,0,96,27
467,877,0,0,96,27
468,877,0,0,96,27
469,877,0,0,96,27
470,877,0,0,96,27
471,877,0,0,96,27
472,877,0,0,96,27
473,877,0,0,96,27
474,877,0,0,96,27
475,877,0,0,96,27
476,877,0,0,96,27
477,877,0,0,96,27
478,877,0,0,96,27
479,877,0,0,96,27
480,877,0,0,96,27
481,877,0,0,96,27
482,877,0,0,96,27
483,877,0,0,96,27
484,877,0,0,96,27
485,877,0,0,96,27
486,877,0,0,96,27
487,877,0,0,96,27
488,877,0,0,96,27
489,877,0,0,96,27
490,877,0,0,96,27
491,877,0,0,96,27
492,877,0,0,96,27
493,877,0,0,96,27
494,877,0,0,96,27
495,877,0,0,96,27
496,877,0,0,96,27
497,877,0,0,96,27
498,877,0,0,96,27
499,877,0,0,96,27
500,877,0,0,96,27
